frame_idx,gen_time,fetch_time,preprocess_time,render_time,total_time,sleep_time,end_to_end_time,datasize,quality_level,quant_mask,diff_thresh
256,0.004775,0.001996,0.024105,0.007397,0.038272,0.000000,0.038272,1920703,2,248,10
257,0.006414,0.002048,0.024096,0.008333,0.040892,0.000000,0.040892,1944601,2,248,10
258,0.002936,0.002250,0.022710,0.006255,0.034150,0.000000,0.034150,1952366,2,248,10
259,0.002801,0.002381,0.023916,0.006712,0.035811,0.000000,0.035811,1957752,2,248,10
260,0.002992,0.002242,0.026479,0.006255,0.037968,0.000000,0.037968,1979091,2,248,10
261,0.003612,0.002017,0.025887,0.007365,0.038881,0.000000,0.038881,1993213,2,248,10
262,0.005660,0.001848,0.023551,0.007385,0.038443,0.000000,0.038443,1978868,2,248,10
263,0.005829,0.001818,0.023794,0.009762,0.041202,0.000000,0.041202,1963452,2,248,10
264,0.004109,0.001761,0.021673,0.008296,0.035839,0.000000,0.035839,1937263,2,248,10
265,0.003343,0.003000,0.024134,0.007298,0.037775,0.000000,0.037775,1912682,2,248,10
266,0.003621,0.002418,0.027264,0.009737,0.043040,0.000000,0.043040,1981335,2,248,10
267,0.003768,0.003135,0.026873,0.006668,0.040444,0.000000,0.040444,1993467,2,248,10
268,0.003506,0.002006,0.025758,0.007104,0.038374,0.000000,0.038374,2062992,2,248,10
269,0.005526,0.001710,0.024994,0.009111,0.041341,0.000000,0.041341,2070838,2,248,10
270,0.004798,0.001899,0.025398,0.007784,0.039880,0.000000,0.039880,2059254,2,248,10
271,0.007405,0.002622,0.023660,0.006005,0.039691,0.000000,0.039691,2046675,2,248,10
272,0.002905,0.001368,0.021995,0.012026,0.038295,0.000000,0.038295,2033674,2,248,10
273,0.003559,0.005305,0.024548,0.007134,0.040546,0.000000,0.040546,1956397,2,248,10
274,0.002731,0.002063,0.027197,0.006987,0.038978,0.000000,0.038978,2011038,2,248,10
275,0.003924,0.002187,0.025702,0.006388,0.038201,0.000000,0.038201,2094772,2,248,10
276,0.003186,0.001706,0.026432,0.009713,0.041036,0.000000,0.041036,2100940,2,248,10
277,0.006002,0.001903,0.025163,0.009020,0.042088,0.000000,0.042088,2031273,2,248,10
278,0.005875,0.002882,0.024691,0.006398,0.039845,0.000000,0.039845,1973838,2,248,10
279,0.006905,0.002142,0.022899,0.006983,0.038929,0.000000,0.038929,1984956,2,248,10
280,0.003070,0.002047,0.022440,0.008198,0.035755,0.000000,0.035755,1911351,2,248,10
281,0.002631,0.002524,0.024768,0.008012,0.037934,0.000000,0.037934,1928633,2,248,10
